2015-01-01,105,200,MasterCard
2015-01-01,151,150,MasterCard
2015-01-01,208,50,AMEX
2015-01-01,246,50,MasterCard
2015-01-01,253,200,Visa
2015-01-01,261,200,AMEX
2015-01-01,294,150,AMEX
2015-01-01,300,150,MasterCard
2015-01-01,307,100,MasterCard
2015-01-01,316,150,MasterCard
2015-01-01,322,150,MasterCard
2015-01-01,325,50,Visa
2015-01-01,329,150,MasterCard
2015-01-01,331,200,Visa
2015-01-01,364,100,MasterCard
2015-01-01,375,100,MasterCard
2015-01-01,375,200,Visa
2015-01-01,378,200,Visa
2015-01-01,414,50,Visa
2015-01-01,423,50,MasterCard
2015-01-01,424,150,MasterCard
2015-01-01,433,200,Visa
2015-01-01,439,200,MasterCard
2015-01-01,440,200,MasterCard
2015-01-01,440,50,AMEX
2015-01-01,443,50,MasterCard
2015-01-01,458,50,Visa
2015-01-01,476,150,Visa
2015-01-01,477,50,Visa
2015-01-01,517,100,AMEX
2015-01-01,517,50,AMEX
2015-01-01,519,200,Visa
2015-01-01,52,100,Visa
2015-01-01,541,50,Visa
2015-01-01,548,100,Visa
2015-01-01,551,200,MasterCard
2015-01-01,57,100,Visa
2015-01-01,57,150,Visa
2015-01-01,573,200,MasterCard
2015-01-01,60,100,MasterCard
2015-01-01,600,100,Visa
2015-01-01,609,200,MasterCard
2015-01-01,639,100,Visa
2015-01-01,656,200,Visa
2015-01-01,663,150,AMEX
2015-01-01,67,50,Visa
2015-01-01,702,150,MasterCard
2015-01-01,706,150,AMEX
2015-01-01,714,200,Visa
2015-01-01,719,200,AMEX
2015-01-01,72,200,MasterCard
2015-01-01,723,150,Visa
2015-01-01,731,150,MasterCard
2015-01-01,787,100,Visa
2015-01-01,79,50,Visa
2015-01-01,797,200,MasterCard
2015-01-01,8,200,MasterCard
2015-01-01,80,100,MasterCard
2015-01-01,80,50,MasterCard
2015-01-01,802,200,MasterCard
2015-01-01,804,200,MasterCard
2015-01-01,81,100,AMEX
2015-01-01,811,150,AMEX
2015-01-01,818,50,MasterCard
2015-01-01,833,50,Visa
2015-01-01,840,200,Visa
2015-01-01,862,50,MasterCard
2015-01-01,878,150,AMEX
2015-01-01,905,200,MasterCard
2015-01-01,918,50,MasterCard
2015-01-01,920,150,Visa
2015-01-01,923,150,Visa
2015-01-01,937,150,AMEX
2015-01-01,942,150,MasterCard
2015-01-01,942,50,AMEX
2015-01-01,945,50,MasterCard
2015-01-01,958,200,Visa
2015-01-01,959,100,Visa
2015-01-01,96,100,AMEX
2015-01-01,963,50,AMEX
2015-01-01,980,100,Visa
2015-01-01,982,100,AMEX
2015-01-01,993,150,AMEX
2015-01-02,104,150,MasterCard
2015-01-02,212,200,Visa
2015-01-02,22,150,MasterCard
2015-01-02,310,200,AMEX
2015-01-02,380,100,AMEX
2015-01-02,391,50,Visa
2015-01-02,402,50,MasterCard
2015-01-02,617,150,Visa
2015-01-02,729,200,Visa
2015-01-02,782,200,AMEX
2015-01-02,862,150,MasterCard
2015-01-02,894,100,AMEX
2015-01-02,95,200,AMEX
2015-01-02,958,200,AMEX
2015-01-03,183,150,AMEX
2015-01-03,264,50,Visa
2015-01-03,279,150,MasterCard
2015-01-03,360,200,AMEX
2015-01-03,600,200,AMEX
2015-01-03,646,50,Visa
2015-01-03,65,150,AMEX
2015-01-03,792,100,AMEX
2015-01-03,986,50,MasterCard
2015-01-03,987,150,MasterCard
2015-01-04,150,150,MasterCard
2015-01-04,267,100,Visa
2015-01-04,401,50,MasterCard
2015-01-04,408,50,MasterCard
2015-01-04,524,150,MasterCard
2015-01-04,550,100,Visa
2015-01-04,604,200,Visa
2015-01-04,646,50,MasterCard
2015-01-04,650,150,AMEX
2015-01-04,714,50,Visa
2015-01-04,752,100,Visa
2015-01-04,825,50,Visa
2015-01-04,997,100,MasterCard
2015-01-05,131,200,Visa
2015-01-05,145,150,Visa
2015-01-05,165,150,MasterCard
2015-01-05,193,50,Visa
2015-01-05,199,200,Visa
2015-01-05,245,200,Visa
2015-01-05,270,50,MasterCard
2015-01-05,271,150,AMEX
2015-01-05,275,150,Visa
2015-01-05,299,150,MasterCard
2015-01-05,335,200,AMEX
2015-01-05,374,150,Visa
2015-01-05,379,50,Visa
2015-01-05,386,150,MasterCard
2015-01-05,394,150,MasterCard
2015-01-05,403,200,AMEX
2015-01-05,419,150,MasterCard
2015-01-05,419,150,Visa
2015-01-05,434,100,Visa
2015-01-05,438,200,Visa
2015-01-05,457,150,MasterCard
2015-01-05,495,150,MasterCard
2015-01-05,567,100,MasterCard
2015-01-05,571,100,MasterCard
2015-01-05,588,200,Visa
2015-01-05,597,50,MasterCard
2015-01-05,615,150,Visa
2015-01-05,640,100,Visa
2015-01-05,710,50,Visa
2015-01-05,72,50,MasterCard
2015-01-05,726,150,Visa
2015-01-05,729,100,AMEX
2015-01-05,750,200,Visa
2015-01-05,768,100,Visa
2015-01-05,776,100,MasterCard
2015-01-05,791,150,MasterCard
2015-01-05,797,50,MasterCard
2015-01-05,812,150,Visa
2015-01-05,814,100,MasterCard
2015-01-05,835,100,Visa
2015-01-05,893,100,AMEX
2015-01-05,90,150,Visa
2015-01-05,902,150,Visa
2015-01-05,960,150,AMEX
2015-01-05,980,200,MasterCard
2015-01-05,986,100,MasterCard
2015-01-06,843,50,AMEX
2015-01-06,916,100,Visa
2015-01-07,19,200,Visa
2015-01-07,215,50,AMEX
2015-01-07,294,200,AMEX
2015-01-07,327,150,AMEX
2015-01-07,337,200,MasterCard
2015-01-07,385,150,Visa
2015-01-07,398,200,Visa
2015-01-07,408,50,MasterCard
2015-01-07,446,150,MasterCard
2015-01-07,470,100,MasterCard
2015-01-07,483,100,AMEX
2015-01-07,485,50,AMEX
2015-01-07,516,150,Visa
2015-01-07,525,150,Visa
2015-01-07,536,50,AMEX
2015-01-07,540,50,AMEX
2015-01-07,546,50,MasterCard
2015-01-07,563,150,Visa
2015-01-07,565,100,MasterCard
2015-01-07,57,50,AMEX
2015-01-07,593,50,MasterCard
2015-01-07,62,100,AMEX
2015-01-07,640,50,MasterCard
2015-01-07,648,200,AMEX
2015-01-07,686,150,Visa
2015-01-07,786,100,MasterCard
2015-01-07,798,150,Visa
2015-01-07,840,50,AMEX
2015-01-07,857,100,AMEX
2015-01-07,896,100,MasterCard
2015-01-07,91,100,Visa
2015-01-07,915,100,MasterCard
2015-01-07,963,50,AMEX
2015-01-07,983,150,MasterCard
2015-01-07,996,150,Visa
2015-01-08,136,200,MasterCard
2015-01-08,145,100,AMEX
2015-01-08,165,100,MasterCard
2015-01-08,2,100,Visa
2015-01-08,253,50,MasterCard
2015-01-08,267,150,MasterCard
2015-01-08,276,100,Visa
2015-01-08,30,150,Visa
2015-01-08,353,50,Visa
